Catégorie,Champ,Valeur (à remplir)
Informations Générales,Nom de l'entreprise,
Informations Générales,Secteur d'activité,
Informations Générales,Site web actuel (si existant),
Informations Générales,Personne de contact,
Informations Générales,Email,
Informations Générales,Téléphone,
Charte Graphique,Couleur principale (hex ou nom),
Charte Graphique,Couleur secondaire (hex ou nom),
Charte Graphique,Couleur d'accent (hex ou nom),
Charte Graphique,Police principale souhaitée,
Charte Graphique,Police secondaire souhaitée,
Charte Graphique,Style général (moderne / classique / minimaliste / autre),
Logo & Identité,Logo fourni ? (oui/non),
Logo & Identité,"Si oui, format du logo (PNG / SVG / AI / autre)",
Logo & Identité,Le logo doit-il être redessiné ? (oui/non),
Logo & Identité,Slogan / Tagline,
Contenu du Site,Pages souhaitées (ex: Accueil / À propos / Services / Contact),
Contenu du Site,Textes fournis ? (oui/non),
Contenu du Site,Photos/images fournies ? (oui/non),
Contenu du Site,Vidéos à intégrer ? (oui/non),
Contenu du Site,Blog souhaité ? (oui/non),
Fonctionnalités,Formulaire de contact (oui/non),
Fonctionnalités,Boutique en ligne (oui/non),
Fonctionnalités,Réservation en ligne (oui/non),
Fonctionnalités,Chat en direct (oui/non),
Fonctionnalités,Intégration réseaux sociaux (oui/non),
Fonctionnalités,Newsletter / Mailing list (oui/non),
Fonctionnalités,Espace membre / Connexion (oui/non),
Fonctionnalités,Autres fonctionnalités spécifiques,
Références & Inspiration,Sites web que vous aimez (URLs),
Références & Inspiration,Ce que vous aimez dans ces sites,
Références & Inspiration,Sites web que vous n'aimez pas (URLs),
Références & Inspiration,Ce que vous n'aimez pas,
SEO & Marketing,Mots-clés importants pour votre activité,
SEO & Marketing,Zone géographique ciblée,
SEO & Marketing,Google Analytics déjà configuré ? (oui/non),
SEO & Marketing,Publicité en ligne souhaitée ? (oui/non),
Hébergement & Domaine,Nom de domaine souhaité,
Hébergement & Domaine,Nom de domaine déjà acheté ? (oui/non),
Hébergement & Domaine,Hébergement actuel (si existant),
Budget & Délais,Budget approximatif,
Budget & Délais,Date de lancement souhaitée,
Budget & Délais,Forfait maintien souhaité ? (oui/non),
Notes,Remarques ou demandes supplémentaires,
